Edge	Score_init	Score_changed
fdp_c (pp) FBA	1.0	4.0
fdp_c (pp) dhap_c	1.0	4.0
fdp_c (pp) g3p_c	1.0	4.0
FBA (pp) FBA	1.0	4.0
FBA (pp) dhap_c	1.0	4.0
FBA (pp) g3p_c	1.0	4.0
h2o_c (pp) FBP	1.0	4.0
h2o_c (pp) pi_c	1.0	4.0
h2o_c (pp) f6p_c	1.0	4.0
fdp_c (pp) FBP	1.0	4.0
fdp_c (pp) pi_c	1.0	4.0
fdp_c (pp) f6p_c	1.0	4.0
FBP (pp) FBP	1.0	4.0
FBP (pp) pi_c	1.0	4.0
FBP (pp) f6p_c	1.0	4.0
for_e (pp) FORt2	1.0	4.0
for_e (pp) h_c	1.0	4.0
for_e (pp) for_c	1.0	4.0
h_e (pp) FORt2	1.0	4.0
h_e (pp) h_c	1.0	4.0
h_e (pp) for_c	1.0	4.0
FORt2 (pp) FORt2	1.0	4.0
FORt2 (pp) h_c	1.0	4.0
FORt2 (pp) for_c	1.0	4.0
for_c (pp) FORti	1.0	0.25
for_c (pp) for_e	1.0	0.25
FORti (pp) FORti	1.0	0.25
FORti (pp) for_e	1.0	0.25
q8h2_c (pp) FRD7	1.0	1.0
q8h2_c (pp) succ_c	1.0	1.0
q8h2_c (pp) q8_c	1.0	1.0
fum_c (pp) FRD7	1.0	1.0
fum_c (pp) succ_c	1.0	1.0
fum_c (pp) q8_c	1.0	1.0
FRD7 (pp) FRD7	1.0	1.0
FRD7 (pp) succ_c	1.0	1.0
FRD7 (pp) q8_c	1.0	1.0
fru_e (pp) FRUpts2	1.0	2.0
fru_e (pp) pyr_c	1.0	2.0
fru_e (pp) f6p_c	1.0	2.0
pep_c (pp) FRUpts2	1.0	2.0
pep_c (pp) pyr_c	1.0	2.0
pep_c (pp) f6p_c	1.0	2.0
FRUpts2 (pp) FRUpts2	1.0	2.0
FRUpts2 (pp) pyr_c	1.0	2.0
FRUpts2 (pp) f6p_c	1.0	2.0
fum_c (pp) FUM	1.0	1.0
fum_c (pp) mal__L_c	1.0	1.0
h2o_c (pp) FUM	1.0	1.0
h2o_c (pp) mal__L_c	1.0	1.0
FUM (pp) FUM	1.0	1.0
FUM (pp) mal__L_c	1.0	1.0
h_e (pp) FUMt2_2	1.0	4.0
h_e (pp) fum_c	1.0	4.0
h_e (pp) h_c	1.0	4.0
fum_e (pp) FUMt2_2	1.0	4.0
fum_e (pp) fum_c	1.0	4.0
fum_e (pp) h_c	1.0	4.0
FUMt2_2 (pp) FUMt2_2	1.0	4.0
FUMt2_2 (pp) fum_c	1.0	4.0
FUMt2_2 (pp) h_c	1.0	4.0
g6p_c (pp) G6PDH2r	1.0	4.0
g6p_c (pp) 6pgl_c	1.0	4.0
g6p_c (pp) nadph_c	1.0	4.0
g6p_c (pp) h_c	1.0	4.0
nadp_c (pp) G6PDH2r	1.0	4.0
nadp_c (pp) 6pgl_c	1.0	4.0
nadp_c (pp) nadph_c	1.0	4.0
nadp_c (pp) h_c	1.0	4.0
G6PDH2r (pp) G6PDH2r	1.0	4.0
G6PDH2r (pp) 6pgl_c	1.0	4.0
G6PDH2r (pp) nadph_c	1.0	4.0
G6PDH2r (pp) h_c	1.0	4.0
pi_c (pp) GAPD	1.0	4.0
pi_c (pp) 13dpg_c	1.0	4.0
pi_c (pp) h_c	1.0	4.0
pi_c (pp) nadh_c	1.0	4.0
g3p_c (pp) GAPD	1.0	4.0
g3p_c (pp) 13dpg_c	1.0	4.0
g3p_c (pp) h_c	1.0	4.0
g3p_c (pp) nadh_c	1.0	4.0
nad_c (pp) GAPD	1.0	4.0
